codigo_produto;nome;codigo_de_barras;sigla_da_unidade_de_medida;marca_do_produto;categoria;subcategoria_nivel_1;subcategoria_nivel_2;preco_custo;preco_fornecedor;preco_minimo_de_venda;preco_venda;peso;estoque_minimo;origem_produto;receita_do_produto;referencia_interna;enviar_dados_balanca;informacao_adicional;cnpj_fornecedor;nome_do_fornecedor;multiplicador;sigla_pacote;grade_1;grade_2;opcao_de_grade_1;opcao_de_grade_2;NCM;cest;aliquota_cofins;aliquota_ipi;aliquota_pis;enquadramento_de_ipi;codigo_situacao_tributaria_ipi;codigo_situacao_tributaria_pis;codigo_situacao_tributaria_icms;aliquota_icms;mva;reducao_na_base_de_calculo;origem_icms;destino_icms;csosn;codigo_beneficio_fiscal_regra_icms;codigo_beneficio_fiscal_produto;valor_base_calculo_icms_st_retido_anteriormente;valor_icms_st_retido_anteriormente
131;CALCA PITT CINTURA ALTA;;UN;;;;;1;;;169.000;;;;;20370001;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
132;CALCA STOP FEMININA;;UN;;;;;1;;;178.000;;;;;CN3525;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
133;CALCA PITT MEDIA SKINNY;;UN;;;;;1;;;162.000;;;;;16480003;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
134;CALCA STOP FEMININA;;UN;;;;;1;;;180.000;;;;;CN3480;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
135;CALCA STOP FEMININA;;UN;;;;;1;;;148.000;;;;;SW203240;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
136;CALCA PITT CONTEMPORANEA RETA;;UN;;;;;1;;;151.000;;;;;18230017;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
137;CALCA STOP FEMININA;;UN;;;;;1;;;179.000;;;;;CN3212;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
138;CALCA STOP FEMININA;;UN;;;;;1;;;195.000;;;;;CN3528;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
139;CALCA STOP FEMININA C CINTO;;UN;;;;;1;;;189.000;;;;;CN3365;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
140;CALCA STOP FEMININA;;UN;;;;;1;;;169.000;;;;;CN3362;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
141;CALCA STOP FEMININA FLAT;;UN;;;;;1;;;189.000;;;;;CF3523;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
142;CALCA STOP FEMININA;;UN;;;;;1;;;159.000;;;;;CG3854;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
143;CALCA STOP FEMININA;;UN;;;;;1;;;170.000;;;;;CN3530;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
