CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
10098,00;10098,00;*ENGATE 50CM BRANCO PLASBOHN;UN;2.0;2.69;2.7;2.7;5.9;3917.40.90;60.0;500.0;0.0;0.0;0.0
10102,00;10102,00;*ARGAMASSA PORCELANATO 20KG ITAITIUNGA;SC;1.0;20.04;24.7;35.0;38.9;3214.90.00;60.0;500.0;0.0;0.0;0.0
10151,00;10151,00;*LUMINARIA ;UN;14.0;32.56;32.56;32.56;55.9;9405.42.00;60.0;500.0;0.0;0.0;0.0
10209,00;10209,00;*TUBO PVC ELETRODUTO ROSC 1.1/2 3M COFLEX;UN;7.0;18.88;18.89;18.89;33.5;3917.23.00;60.0;500.0;0.0;0.0;0.0
10226,00;10226,00;*BOCAL DE LOUCA ASA TIGRE;UN;6.0;1.4;1.41;1.41;3.5;8536.61.00;60.0;500.0;0.0;0.0;0.0
10230,00;10230,00;TORNEIRA BANCADA 1/4 VOLTA BRANCA DICASA ABS;UND;10.0;9.0;9.0;18.0;20.0;8481.80.19;60.0;500.0;0.0;0.0;0.0
10231,00;10231,00;*ELETRODO SERRALHEIRO 2.5MMX350MM E6013 CZ THOR AWS;KG;0.0;14.72;14.73;14.73;27.9;8311.10.00;60.0;500.0;0.0;0.0;0.0
10232,00;10232,00;*INTER PARAL+TOM 2P+T 10A IDEALE PLUZIE;UN;0.0;6.91;6.91;6.91;15.9;8536.50.90;60.0;500.0;0.0;0.0;0.0
10233,00;10233,00;TELHA CERAMICA 2º;UND;0.0;0.37;0.37;0.58;0.65;7326.19.00;60.0;500.0;0.0;0.0;0.0
10238,00;10238,00;*ABRACADEIRA 10X16X9 SEM FIM INOX F WURTH;UN;1.0;2.28;2.56;2.56;5.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
10239,00;10239,00;*ABRACADEIRA 12X22X9 SEM FIM INOX F WURTH;UN;21.0;2.47;2.78;2.78;5.6;7326.90.90;60.0;500.0;0.0;0.0;0.0
10240,00;10240,00;*ABRACADEIRA 16X27X9 SEM FIM INOX F WURTH;UN;4500000.0;1.35;1.44;1.44;4.5;7326.90.90;60.0;500.0;0.0;0.0;0.0
10241,00;10241,00;*ABRACADEIRA 20X32X9 INOX WURTH SEM FIM;UN;17.0;1.85;1.94;1.94;4.5;7326.90.90;60.0;500.0;0.0;0.0;0.0
10242,00;10242,00;*MANGOTE 3/4 PLASTMAR SUCCAO LIGHT AZUL;MT;17.0;9.32;9.79;17.0;18.9;3917.39.00;60.0;500.0;0.0;0.0;0.0
10263,00;10263,00;*PISO 58X58 PSI-66570 A CALACATTA GOLD INCENOR;M2;3.0;15.71;15.71;29.99;33.25;6907.22.00;60.0;500.0;0.0;0.0;0.0
10272,00;10272,00;*DESEMPENADEIRA 18/30 LISA PLASFIL;UND;2.0;5.97;6.28;6.28;13.5;3925.90.90;60.0;500.0;0.0;0.0;0.0
10307,00;7900000000000,00;*ESPACADOR AZULEJO 3MM 100PCS - WORKER;PCT;0.0;1.68;1.93;1.93;4.0;3925.90.90;60.0;500.0;0.0;0.0;0.0
10315,00;10315,00;FITA ADERE EMPACOT 706 45MMX45M MARROM;UN;0.0;1.0;1.0;1.0;1.0;3919.10.10;60.0;500.0;0.0;0.0;0.0
10333,00;10333,00;*ESPACADOR 1MM BRANCO ECOLIDER;PCT;39900000.0;1.5;1.5;3.0;3.5;3925.90.90;60.0;500.0;0.0;0.0;0.0
10350,00;10350,00;*ESCADA ALUMINIO 8 DEGRAUS MOR;UN;7.0;238.95;238.95;238.95;379.0;7616.99.00;60.0;500.0;0.0;0.0;0.0
10358,00;10358,00;ARGAMASSA ACII 20KG MULTI MASSA;SC;0.0;14.0;14.0;20.0;22.5;3214.90.00;60.0;500.0;0.0;0.0;0.0
10359,00;10359,00;ARGAMASSA ACIII 20KG MULTI MASSA;SC;0.0;19.0;19.0;19.99;19.99;3214.90.00;60.0;500.0;0.0;0.0;0.0
10381,00;10381,00;*SUPORTE MAO FRANCESA 20CM - OVERTIME;UN;9.0;3.47;3.48;3.48;7.0;7216.21.00;0.0;102.0;18.0;0.0;0.0
10390,00;118081,00;BARRA ROSCADA 5/16 ZINCADA;UND;122.0;5.17;5.17;10.0;12.0;7318.19.00;60.0;500.0;0.0;0.0;0.0
10398,00;10398,00;*REATOR VAPOR SODIO EXT 400W TECNOLINSA;UN;0.0;102.24;102.25;102.25;169.0;8504.10.00;60.0;500.0;0.0;0.0;0.0
10404,00;10404,00;*PIA INOX 1.40M CONC/ESC 53CM S/V DURANOX;UND;0.0;193.32;193.33;193.33;322.9;7324.10.00;60.0;500.0;0.0;0.0;0.0
10411,00;10411,00;*ALGICIDA MANUTENCAO 1L HTH;LT;0.0;17.65;17.65;27.0;29.9;3808.99.99;0.0;102.0;18.0;0.0;0.0
10418,00;10418,00;PF SEXT FLANG ARR VED EPDM PB ZNB 5.5X1;UN;0.0;1.0;1.0;1.0;1.0;7318.14.00;60.0;500.0;0.0;0.0;0.0
10419,00;10419,00;*MEDIDOR MONOF CELPE VIATEK;UN;0.0;35.85;35.86;35.86;66.9;3925.90.90;0.0;102.0;18.0;0.0;0.0
10420,00;10420,00;*LIXA DAGUA 180 CARBU;UN;0.0;1.4;1.41;1.41;2.9;6805.20.00;0.0;102.0;18.0;0.0;0.0
10448,00;10448,00;*PORTA FRISADA 70CM MOGNO RIBEIRO;UN;2.0;43.0;43.0;43.0;179.0;4418.21.00;0.0;102.0;18.0;0.0;0.0
10449,00;10449,00;*PORTA FRISADA 80CM MOGNO RIBEIRO;UN;2.0;43.0;43.0;43.0;179.0;4418.21.00;0.0;102.0;18.0;0.0;0.0
10458,00;10458,00;REJUNTE 5KG PISCINA AZ CELESTE QUARTZOLIT;PCT;2.0;43.34;43.77;110.0;123.0;3214.90.00;60.0;500.0;0.0;0.0;0.0
10461,00;10461,00;REJUNTE 5KG CZ PLATINA PORCELANATO QUARTZOLIT;PCT;0.0;17.5;17.93;45.0;49.9;3214.90.00;60.0;500.0;0.0;0.0;0.0
10483,00;10483,00;*PARAFUSO SEXT 3/16X1/2 ZINC - CISER;UND;10.0;0.02;0.02;0.02;0.2;7318.15.00;60.0;500.0;0.0;0.0;0.0
10488,00;10488,00;CAIXA DE PORTA MANDIOQUEIRA;UND;4.0;70.0;80.0;120.0;135.0;4418.21.00;60.0;500.0;0.0;0.0;0.0
10500,00;10500,00;*COLA BRANCA 500GR FORTNIL;UND;1.0;5.45;5.46;5.46;9.5;3506.10.90;0.0;102.0;18.0;0.0;0.0
10505,00;10505,00;*DISCO DE DESBASTE 4.1/2X1/4 BRMAIS;UND;1.0;2.43;2.43;2.43;5.0;6804.22.11;0.0;102.0;18.0;0.0;0.0
10506,00;10506,00;*DISCO DE DESBASTE 7X1/4 BRMAIS;UN;0.0;5.44;5.44;5.44;9.9;6804.22.11;0.0;102.0;18.0;0.0;0.0
10507,00;10507,00;*LAMPADA GELAD/MICRO 15W E-14 SORTELUZ;UND;0.0;1.66;1.67;1.67;4.5;8539.22.00;60.0;500.0;0.0;0.0;0.0
10508,00;10508,00;*SUPORTE TV ATE 71 UNIVER FIXO BRASF;UN;2.0;9.8;9.8;9.8;20.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
10510,00;10510,00;*CADEADO 32MM ACO BRAVO;UN;11.0;7.14;7.14;7.14;16.9;8301.10.00;60.0;500.0;0.0;0.0;0.0
10511,00;10511,00;*CADEADO 38MM ACO BRAVO;UN;12.0;9.33;9.34;9.34;20.0;8301.10.00;60.0;500.0;0.0;0.0;0.0
10512,00;10512,00;CADEADO 50MM ACO BRAVO;UN;2.0;14.3;14.3;14.3;30.0;8301.10.00;60.0;500.0;0.0;0.0;0.0
10513,00;10513,00;*DISPENSER SABONETE LIQUIDO 500ML BRMAIS;UN;3.0;20.46;20.46;20.46;39.99;3925.90.90;60.0;500.0;0.0;0.0;0.0
10514,00;10514,00;*PULVERIZADOR BOMBA FLITZ 350 ML SIGMA;UN;5.0;8.34;8.34;8.34;16.9;8424.89.90;0.0;102.0;18.0;0.0;0.0
